EDIPI|Patient_Last_Name|Patient_First_Name|SSN|Date_of_Receipt_(UTC)|Sending_Organization|Purpose_of_Use|Purpose_of_Use_Code|User_Role|Document_Format_Code|Document_LOINC_Code|Document_ID|Repository_ID|Source_ID|CCDA_File_Name
12345678910|JAMES|SMITH||2022-01-02 10:03:36+00:00|AdvocateAuroraHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.2.2.7.8.688883.1626693666|1.2.840.114350.1.13.2.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.2.2.7.3.688884.100|1284011435011322786888831626693666_20220102100336565000_490199091566.xml
23456789101|MICHEAL|JOHNSON||2022-01-02 10:03:41+00:00|Ballad_Health|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.367.2.7.8.688883.68058158|1.2.840.114350.1.13.367.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.367.2.7.3.688884.100|1284011435011336727868888368058158_20220102100341619000_490199050823.xml
34567891012|JOHN|WILLIAMS||2022-01-02 10:03:40+00:00|AdvocateAuroraHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.2.2.7.8.688883.1626693634|1.2.840.114350.1.13.2.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.2.2.7.3.688884.100|1284011435011322786888831626693634_20220102100340035000_490198266284.xml
45678910123|ROBERT|BROWN||2022-01-02 10:03:52+00:00|AdvocateAuroraHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.2.2.7.8.688883.1626693529|1.2.840.114350.1.13.2.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.2.2.7.3.688884.100|1284011435011322786888831626693529_20220102100352977000_490199031991.xml
56789101234|DAVID|JONES||2022-01-02 10:04:03+00:00|AdvocateAuroraHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.2.2.7.8.688883.1626693441|1.2.840.114350.1.13.2.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.2.2.7.3.688884.100|1284011435011322786888831626693441_20220102100403966000_490199091745.xml
67891012345|MARRY|MILLER||2022-01-02 10:08:12+00:00|KaiserPermanente|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|34133-9|1.2.840.114350.1.13.111.2.7.8.688883.185186246|1.2.840.114350.1.13.111.2.7.3.688884.100|urn:oid:1.3.6.1.4.1.26580|12840114350113111278688883185186246_20220102100812051000_490199050879.xml
78910123456|LIAM|DAVIS||2022-01-02 10:14:54+00:00|NYULangoneHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.232.2.7.8.688883.238352173|1.2.840.114350.1.13.232.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.232.2.7.3.688884.100|12840114350113232278688883238352173_20220102101454772000_490199050989.xml
89101234567|NOAH|RODRIGUEZ||2022-01-02 10:14:55+00:00|NYULangoneHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.232.2.7.8.688883.150089512|1.2.840.114350.1.13.232.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.232.2.7.3.688884.100|12840114350113232278688883150089512_20220102101455552000_490199050993.xml
91012345678|OLIVIA|MARTINEZ||2022-01-02 10:24:17+00:00|Sanford_Health|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.138.2.7.8.688883.191014976|1.2.840.114350.1.13.138.2.7.2.688879|urn:oid:1.2.840.114350.1.13.138.2.7.3.688884.100|12840114350113138278688883191014976_20220102102417724000_490199050704.xml
10123456789|GIESE|BRUCE||2022-01-02 10:03:36+00:00|AdvocateAuroraHealth|Treatment|TREATMENT|Public health officer|urn:ihe:pcc:xphr:2007|11506-3|1.2.840.114350.1.13.2.2.7.8.688883.1626693669|1.2.840.114350.1.13.2.2.7.3.688884.100|urn:oid:1.2.840.114350.1.13.2.2.7.3.688884.100|1284011435011322786888831626693669_20220102100336085000_490199032327.xml
